SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
30,0.05,Yes,-99,N/A,Not Available,GAS,,
44,2.00E-02,Yes,-99,N/A,Not Available,GAS,,
108,8.60E-01,Yes,-99,N/A,Not Available,GAS,,
118,4.20E-01,Yes,-99,N/A,Not Available,GAS,,
122,1.04E+00,Yes,-99,N/A,Not Available,GAS,,
130,7.00E-02,Yes,-99,N/A,Not Available,GAS,,
152,4.30E-01,Yes,-99,N/A,Not Available,GAS,,
244,0.06,Yes,-99,N/A,Not Available,GAS,,
245,0.42,Yes,-99,N/A,Not Available,GAS,,
248,1.99E+00,Yes,-99,N/A,Not Available,GAS,,
302,1.41E+00,Yes,-99,N/A,Not Available,GAS,,
367,8.30E-01,Yes,-99,N/A,Not Available,GAS,,
371,6.70E-01,Yes,-99,N/A,Not Available,GAS,,
385,4.30E-01,Yes,-9.90E+01,N/A,Not Available,GAS,,
390,6.10E-01,Yes,-99,N/A,Not Available,GAS,,
438,0.07,Yes,-99,N/A,Not Available,GAS,,
449,6.00E-02,Yes,-99,N/A,Not Available,GAS,,
491,8.34E+00,Yes,-99,N/A,Not Available,GAS,,
514,1.00E-02,Yes,-99,N/A,Not Available,GAS,,
550,1.20E-01,Yes,-99,N/A,Not Available,GAS,,
551,1.41E+00,Yes,-99,N/A,Not Available,GAS,,
592,28.53,Yes,-99,N/A,Not Available,GAS,,
600,0.4,Yes,-99,N/A,Not Available,GAS,,
601,3.75E+00,Yes,-99,N/A,Not Available,GAS,,
604,0.03,Yes,-99,N/A,Not Available,GAS,,
605,7.25E+00,Yes,-99,N/A,Not Available,GAS,,
620,4.00E-02,Yes,-99,N/A,Not Available,GAS,,
671,1.06,Yes,-99,N/A,Not Available,GAS,,
717,1.25E+00,Yes,-99,N/A,Not Available,GAS,,
737,1.02E+00,Yes,-99,N/A,Not Available,GAS,,
742,1.37E+00,Yes,-99,N/A,Not Available,GAS,,
2284,3.60E+01,Yes,-99,N/A,Not Available,GAS,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
